date,grupo_total,novas_entradas,interacoes_grupo,visitas_pagina_grupo,visitas_pagina_vendas,cliques_checkout,vendas,faturamento_bruto,ads_spend,cpl_grupo,notes
2026-05-22,0,0,0,0,0,0,0,0,0,0,Aguardando dado real da abertura do grupo
2026-05-23,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-05-24,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-05-25,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-05-26,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-05-27,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-05-28,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-05-29,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-05-30,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-05-31,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-06-01,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-06-02,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-06-03,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-06-04,0,0,0,0,0,0,0,0,0,0,Aguardando dado real
2026-06-05,0,0,0,0,0,0,0,0,0,0,Aguardando dado real da abertura do carrinho
